adiaux,さようなら
litr,リットル
luks,ぜいたく
meti,手仕事
metr,メートル
najl,釘
nest,巣
pajl,わら
plac,広場
plad,大さら
plan,計画
poet,詩人
pugn,こぶし
ring,輪
sabl,砂
scen,場
skal,尺度
soci,社会
spac,空間
stal,馬小屋
task,任務
tomb,墓
verm,虫
vers,詩句
viol,スミレ
agord,調和
balon,気球
bilet,切符
burgx,ブルジョワ
centr,中心
etagx,階
farun,穀粉
figur,姿
frost,厳寒
gorgx,のど
grund,地盤
haven,港
hotel,ホテル
humor,気分
karot,ニンジン
katar,カタル
kling,刃身
koton,綿
kvant,量
lepor,野ウサギ
makul,汚れ
manik,そで
membr,会員
mizer,悲惨
nebul,霧
organ,器官
parti,党派
pastr,聖職者
radik,根
serur,錠
solid,固体
sonor,音響
strek,線
sxvit,汗
tabak,タバコ
tabel,一覧表
titol,題名
tondr,雷
valiz,旅行かばん
ventr,腹
alumet,マッチ
aparat,装置
brasik,キャベツ
citron,シトロン
cxifon,ぼろぎれ
dekliv,坂
dezert,砂漠
elektr,電気
energi,エネルギー
fiancx,婚約者
hirund,ツバメ
kelner,給仕
kvalit,品質
majstr,巨匠
mantel,マント
martel,金槌
matrac,マットレス
menton,下あご
orangx,オレンジ
origin,起源
potenc,勢力
salajr,給料
sekund,秒
societ,会
stomak,胃
sxultr,肩
tapisx,絨毯
tritik,小麦
aventur,冒険
cigared,巻きタバコ
distanc,距離
embaras,当惑
kamarad,仲間
kaserol,シチュー鍋
komitat,委員会
kongres,大会
kvadrat,正方形
magazen,倉庫
pasport,旅券
politik,政治
registr,登録簿
ter/pom##,ジャガイモ
akcident,事故
auxtobus,バス
auxtomat,自動装置
cxokolad,チョコレート
direktor,管理者
instinkt,本能
karakter,性格
kauxcxuk,弾性ゴム
material,材料
standard,旗
telegraf,電信機
restoraci,レストラン
ark,弓形
baz,基礎
beb,赤ん坊
bub,いたずらっ子
bud,仮小屋
fel,毛皮
hok,鉤
huf,ひづめ
jur,法
kas,金庫
kin,映画
kom,コンマ
kot,泥
lup,狼
mam,乳房
map,地図
min,鉱山
mus,ハツカネズミ
net,清書
nod,結び目
orf,孤児
ort,直角
pat,フライパン
pil,電池
pir,ナシ
pup,人形
rat,ネズミ
rip,ろっ骨
rob,ローブ
tip,典型
ton,楽音
urs,クマ
var,商品
vel,帆
vit,ブドウの木
abel,ミツバチ
auxt,自動車
bluz,ブラウス
boat,ボート
brov,眉
cerb,頭脳
cxek,小切手
cxen,鎖
disk,円盤
dram,戯曲
drap,ラシャ
dusx,シャワー
ezok,カワカマス
farb,絵具
febr,高熱
fend,割れ目
foir,定期市
fost,柱
frag,オランダイチゴ
fulg,煤
funt,ポンド
gant,手袋
geni,天才
glor,栄光
golf,湾
hajl,雹
hero,英雄
kemi,化学
kord,弦
kork,コルク
krad,格子
kran,コック
kret,白墨
kriz,危機
kron,冠
kugl,弾丸
kupr,銅
lift,エレベータ
list,一覧表
mast,マスト
nadl,針
nerv,神経
oliv,オリーブ
park,公園
pasi,情熱
pask,復活祭
pelt,毛皮
plet,盆
poem,詩
proz,散文
pulm,肺
pulv,火薬
rang,地位
revu,専門雑誌
ritm,リズム
seks,性
sens,感覚
silk,絹
simi,サル
sojl,敷居
stil,文体
stri,筋
sxel,殻
tend,テント
verb,動詞
verg,細枝
vert,頭頂
vidv,男やもめ
virt,徳
vual,ベール
vulp,キツネ
afisx,ポスター
album,アルバム
almoz,施し物
arane,クモ
asoci,協会
avenu,並木道
aviad/il##,航空機
barel,たる
bazar,市場
betul,白樺
brems,ブレーキ
butik,店
detal,詳細
diabl,悪魔
emoci,感動
enigm,謎
esenc,本質
fauxk,口
fizik,物理学
framb,エゾイチゴ
grajn,穀粒
hxemi,kemio
ideal,理想
juvel,装身具
katen,かせ
kitel,スモック
krucx,水差し
krust,皮
kubut,ひじ
kukol,カッコウ
kverk,カシ
lamen,薄片
marcx,沼
metod,方法
model,模型
motor,モーター
nivel,水準
palac,宮殿
panj,ママ
penik,絵筆
piocx,つるはし
plumb,鉛
poezi,詩歌
salon,サロン
sauxc,ソース
sitel,バケツ
sklav,奴隷
sport,スポーツ
stamp,スタンプ
stang,棒
stump,切株
sxtal,鋼鉄
sxtof,反物
teatr,劇場
teori,理論
teren,地所
trajn,列車
trajt,目鼻立ち
trunk,幹
venen,毒
vesxt,チョッキ
abomen,嫌悪
angxel,天使
animal,動物
apetit,食欲
apotek,薬局
benzin,ガソリン
bicikl,自転車
bombon,キャンデー
cement,セメント
cxeriz,サクランボ
desert,デザート
fabrik,工場
financ,財政
funebr,喪
funkci,機能
garagx,ガレージ
imperi,帝国
impost,税
impres,印象
kalkan,踵
kalson,パンツ
kamion,トラック
kandel,ろうそく
kanzon,カンツォーネ
kastel,城
klient,顧客
kol/um##,カラー
kurten,カーテン
mandat,為替
mister,神秘
moskit,蚊
muskol,筋肉
ombrel,傘
pacxj,パパ
parfum,芳香
patron,後援者
petrol,石油
posten,部署
pozici,位置
proces,訴訟
profit,利益
proviz,貯蔵
pulvor,粉末
recept,作り方
rekord,記録
rezerv,保留
signal,信号
sistem,体系
surfac,表面
sxofor,運転手
tajlor,仕立屋
trezor,財宝
trikot,トリコット
vakcin,ワクチン
advokat,弁護士
alkohol,アルコール
ampleks,大きさ
brosxur,仮綴本
bulvard,大通り
deficit,赤字
ekonomi,経済
elefant,象
jxurnal,新聞
kabinet,内閣
kapital,資本
koncert,コンサート
krepusk,薄明り
kvartal,市区
miliard,十億
pejzagx,風景
problem,問題
profesi,職業
simpati,共感
student,学生
sxrauxb,ねじ
tempest,暴風雨
traktor,トラクター
tri/angul##,三角形
trotuar,歩道
adjektiv,形容詞
dekoraci,装飾
ekvilibr,平衡
esperant,エスペラント
hospital,病院
intelekt,知性
kalendar,カレンダー
kilometr,キロメートル
komision,委員会
mehxanik,mekaniko
milimetr,ミリメートル
original,原作
pretekst,口実
struktur,構造
telegram,電報
tribunal,裁判所
bibliotek,図書館
fundament,基礎
ingxenier,技師
konferenc,会議
konscienc,良心
literatur,文学
mehxanism,mekanismo
rekompenc,報酬
respublik,共和国
sekretari,書記
apartament,アパートメント
auxtomobil,自動車
auxtoritat,権威
instrument,器具
medikament,医薬
temperatur,温度
cirkonstanc,周囲の事情
eksperiment,実験
mal/varm/um##,風邪
ajl,ニンニク
akn,吹出物
aks,軸
akt,幕
ale,並木道
alg,藻類
apr,イノシシ
azi,アジア
bal,舞踏会
bet,ビート
buk,バックル
cep,玉ネギ
cir,靴墨
dot,持参金
ehx,反響
fab,ソラマメ
fac,面
fag,ブナ
fig,イチジク
gal,胆汁
gru,ツル
gum,ゴム
hal,ホール
jug,くびき
kal,たこ
kaz,格
kub,立方体
lad,ブリキ板
lak,ラッカー
lap,ゴボウ
lin,亜麻
lot,くじ
luk,天窓
mas,かたまり
mat,マット
nuk,うなじ
pap,法王
pav,孔雀
pig,カササギ
pus,膿
ran,カエル
ren,腎臓
rib,スグリ
rim,韻
rol,役割
ros,露
sag,矢
sin,懐
ski,スキー
sof,ソファー
tig,茎
tuf,束
tun,トン
vip,鞭
akci,株式
atom,原子
aven,カラスムギ
bant,飾り結び
bark,小舟
bask,すそ
bend,ひも
blok,塊
bors,株式取引所
bovl,ボウル
brid,馬ろく
brut,家畜
bukl,巻き毛
bulb,玉ねぎ
bulk,ロールパン
cerv,鹿
cign,白鳥
cxel,細胞
dand,伊達男
diet,規定食
dorn,トゲ
etap,行程
etat,明細書
fecx,澱
felt,フェルト
frak,燕尾服
fraz,文
fung,キノコ
garb,束
gent,民族
glav,刀
gobi,カマツカ
gram,グラム
greg,家畜の群れ
grip,インフルエンザ
grot,洞穴
gudr,タール
gxib,こぶ
hegx,生け垣
himn,賛美歌
hxor,合唱
kacx,かゆ
kagx,鳥かご
kaka,ココア
kakt,サボテン
karn,肉体
karp,鯉
kejl,木釘
kern,核
klub,クラブ
korv,カラス
kosm,宇宙
kult,礼拝
lacx,ひも
lard,ラード
larv,幼虫
lice,リセー
likv,液体
lili,ユリ
maiz,トウモロコシ
malv,ゼニアオイ
mens,精神
menu,メニュー
miel,蜂蜜
musk,コケ
muze,博物館
nuks,クルミ
oper,オペラ
oval,卵形線
palm,ヤシ
palt,オーバー
pane,停止
perl,真珠
pian,ピアノ
pice,トウヒ
pipr,こしょう
plag,天罰
prun,スモモ
pudr,白粉
punt,レース
raci,理性
rent,賃貸料
ruin,廃墟
rust,さび
situ,位置
sled,そり
sorg,モロコシ
spik,穂
spur,足跡
stan,スズ
sulk,うね
takt,拍子
tali,胴
tigr,トラ
tort,タルト
tram,市街電車
trup,一座
vaks,ワックス
vejn,静脈
vesp,スズメバチ
vind,おむつ
zink,亜鉛
afrik,アフリカ
agent,代理人
akord,一致
akrid,イナゴ
aktor,俳優
alarm,警報
ampol,アンプル
angil,ウナギ
anser,ガチョウ
artik,関節
bacil,バチルス
bambu,竹
banan,バナナ
brand,ブランデー
bronz,青銅
buked,花束
cigar,葉巻
cikad,セミ
cinam,肉桂
cindr,灰
cirkl,円
civit,自治都市
cxerk,棺
debet,負債
diant,カーネーション
dogan,関税
efekt,感銘
ekran,スクリーン
emajl,エナメル
event,事件
fabel,童話
fasad,ファサード
fason,仕立て
fluid,流体
fotel,肘掛け椅子
front,正面
funel,じょうご
gxerm,胚
hepat,肝臓
horde,オオムギ
infer,地獄
ironi,皮肉
kaban,小屋
kahel,タイル
kajut,船室
kamel,ラクダ
kanal,運河
kankr,ザリガニ
karaf,水差し
kokos,やしの実
krani,頭蓋
krest,とさか
kukum,キュウリ
kupon,クーポン券
kusen,クッション
latun,真ちゅう
lauxb,園亭
lekci,講義
lesiv,灰汁
limak,ナメクジ
logik,論理
lotus,ハス
melon,メロン
moral,道徳
muzel,鼻づら
nilon,ナイロン
ocean,大洋
palat,口蓋
palis,杭
papag,オウム
paser,スズメ
pensi,年金
peron,階段
pilot,パイロット
pland,足の裏
plast,プラスチック
porci,分け前
princ,王子
pupil,ひとみ
rabat,割引
rafan,大根
rauxp,幼虫
resum,要約
rimen,皮ひも
roman,長編小説
salat,サラダ
salik,ヤナギ
satir,諷刺
sciur,リス
sekal,ライ麦
sekci,部
senat,参議院
split,薄片
spong,海綿
stadi,段階
statu,立像
sterk,肥料
strig,フクロウ
strut,ダチョウ
sxink,ハム
sxtip,木片
tapet,壁紙
tarif,関税表
tegol,屋根がわら
tekst,本文
teras,テラス
tomat,トマト
tuber,こぶ
tunel,トンネル
velur,ビロード
veruk,いぼ
vezik,嚢胞
volum,巻
adverb,副詞
akcent,アクセント
alauxd,ヒバリ
amator,アマチュア
amerik,アメリカ
arteri,動脈
asfalt,アスファルト
auxtor,作者
barbir,理容師
bugxet,予算
bulten,会報
cikatr,傷跡
cikoni,コウノトリ
cirkel,コンパス
daktil,なつめやし
dialog,対話
ego/ist##,エゴイスト
eklezi,教会
emerit,定年退職者
euxrop,ヨーロッパ
fajenc,陶土
fazeol,インゲンマメ
fontan,噴水
formik,蟻
formul,書式
fripon,ペテン師
furagx,まぐさ
galosx,オーバーシューズ
gvardi,親衛隊
gxemel,双子
hangar,格納庫
haring,ニシン
hazard,偶然
hektar,ヘクタール
herold,伝令使
higien,衛生
impuls,衝撃
insign,記章
intest,腸
jubile,記念祭
karton,厚紙
kasked,帽子
kavern,ほら穴
kirurg,外科医
klimat,気候
klinik,臨床
kolegi,カレッジ
kolomb,ハト
kolumn,欄
komedi,喜劇
konsul,領事
konval,スズラン
kornik,コガラス
kostum,服装
kredit,信用
kukurb,カボチャ
kunikl,イエウサギ
kurent,電流
lacert,トカゲ
licenc,認可
maleol,くるぶし
materi,物質
mirtel,ミルツ
monstr,怪物
oficir,士官
orator,弁士
papili,チョウ
pendol,振子
period,周期
persik,モモ
pionir,開拓者
planed,惑星
platan,プラタナス
plural,複数
profet,預言者
prolet,プロレタリア
pronom,代名詞
reakci,反動
regxim,政体
rivolu,回転
ruband,リボン
skorpi,サソリ
spinac,ホウレンソウ
stamen,おしべ
statur,身長
surtut,外套
sxakal,ジャッカル
sxauxm,泡
teknik,技術
testud,カメ
torent,急流
trafik,交通
tumult,騒動
turism,観光
turist,観光客
vertic,頂点
viktim,いけにえ
violon,バイオリン
vulkan,火山
vultur,ハゲタカ
abrikot,アンズ
akademi,学士院
alfabet,アルファベット
alumini,アルミニウム
ambasad,大使館
anekdot,逸話
apertur,開口部
apostol,使徒
asemble,総会
bagatel,つまらない事
bakteri,バクテリア
bandagx,包帯
bifstek,ビフテキ
budgxet,bugxeto
burgxon,芽
central,中央施設
cirkvit,回路
cxar/um##,手押車
dimensi,次元
ekvator,赤道
element,要素
epidemi,流行性伝染病
fantazi,幻想
fenomen,現象
gelaten,ゼラチン
general,将軍
girland,花輪
harmoni,調和
instanc,審級
invalid,廃疾者
kaldron,大釜
kasxtan,クリ
katalog,カタログ
kirurgi,外科学
kolonel,陸軍大佐
komisar,委員
kompani,会社
koncept,概念
konkord,和合
konkurs,競技
koridor,廊下
kristal,水晶
lantern,ランタン
latitud,緯度
medicin,医学
mineral,鉱物
minimum,最小
ministr,大臣
obstakl,障害物
orkestr,オーケストラ
pacifik,太平洋
palpebr,まぶた
pantofl,スリッパ
paradiz,天国
paralel,平行線
plastik,造形術
portret,肖像画
princip,原則
program,プログラム
projekt,企画
proverb,諺
provinc,州
rendevu,会合の約束
sin/ten##,態度
situaci,事態
stadion,スタジアム
subjekt,主題
tehxnik,tekniko
tendenc,傾向
tinktur,染料
tradici,伝統
tragedi,悲劇
traktat,条約
trumpet,トランペット
uniform,制服
vegetal,植物
viadukt,陸橋
volumen,体積
zoologi,動物学
atlantik,大西洋
avantagx,有利な立場
bracelet,腕輪
cirkuler,回覧状
dokument,文書
federaci,連合
generaci,世代
geografi,地理学
gramatik,文法
gxendarm,憲兵
horizont,水平線
individu,個人
kandidat,候補者
karnaval,カーニバル
kategori,カテゴリー
komun/um##,自治体
krokodil,ワニ
longitud,経度
maksimum,最大
marmelad,ママレード
monument,記念碑
parasxut,パラシュート
pasagxer,乗客
pland/um##,靴底
porcelan,磁器
procent,パーセント
profesor,教授
radiator,ラジエータ
regiment,連隊
rekt/angul##,直角→長方形　　　　ミスでは？
sandvicx,サンドイッチ
sindikat,労働組合
singular,単数
specimen,見本
spektakl,見せ物
substanc,物質
teritori,領土
vertikal,鉛直
ambasador,大使
auxstrali,オーストラリア
centimetr,センチメートル
ekspozici,展覧会
inspektor,査察官
kalkan/um##,かかと
konfidenc,打ち明け話
lokomotiv,機関車
matematik,数学
metalurgi,冶金学
ministeri,省
najtingal,ナイチンゲール
ortografi,正書法
parlament,国会
proletari,prolet
propozici,文
psikologi,心理学
suplement,補足
termometr,温度計
elektronik,電子工学
helikopter,ヘリコプター
horizontal,水平
komplement,補語
konsekvenc,帰結
konstituci,憲法
laboratori,研究室
leuxtenant,中尉
mediterane,地中海
substantiv,名詞
universitat,大学
s-ro##,～さん
s-ino##,～さん
sinjor/in##,淑女
alk,オオシカ
aln,ハンノキ
ann,アンナ
bed,苗床
boa,ボア
buf,ヒキガエル
cim,なんきん虫
col,インチ
dam,貴婦人
dig,堤防
duk,公爵
fav,黄癬
fok,アザラシ
fut,フィート
gad,タラ
gam,音階
gri,挽割り麦
guf,ワシミミズク
huz,チョウザメ
kan,アシ
ken,樹脂材
ker,ハート
kil,竜骨
kuf,頭巾
kul,蚊
kup,吸い玉
laf,溶岩
lir,リラ
lod,半オンス
lol,ドクムギ
mac,種無しパン
mel,アナグマ
mes,ミサ
mev,カモメ
muf,マフ
muk,粘液
mul,ラバ
nap,カブラ
peg,キツツキ
pol,ポーランド人
pul,ノミ
rap,カブラ
rif,岩礁
rod,停泊地
rot,中隊
rub,瓦礫
rum,ラム酒
rus,ロシア人
seb,獣脂
sel,鞍
tez,命題
tul,チュール
ulm,ニレ
uln,尺骨
unc,オンス
urn,壷
vil,絨毛
abat,修道院長
acer,カエデ
akar,ダニ
alte,タチアオイ
alun,ミョウバン
amel,デンプン糊
anas,アヒル
angl,イギリス人
aniz,アニス
ankr,錨
arcx,弓
arde,アオサギ
aren,闘技場
atut,切り札
avel,ハシバミ
aviz,通知
azot,窒素
bast,じん皮
bert,ベルタ
blat,ゴキブリ
bram,ブリーム
bran,ふすま
burd,マルハナバチ
cedr,西洋スギ
citr,チター
cxam,カモシカ
cxan,撃鉄
dogm,教条
drak,竜
drog,生薬
ebon,黒たん
eter,エーテル
fabl,寓話
falk,ハヤブサ
fibr,繊維
flan,フラン
flok,片
flut,フルート
fraj,卵塊
ftiz,肺結核
gajl,五倍子
gips,石膏
glan,ドングリ
glim,雲母
graf,伯爵
gril,コオロギ
gros,グースベリー
gurd,手回しオルガン
ibis,トキ
idol,偶像
kalk,石灰
kand,氷砂糖
kard,ヒレアザミ
karo,ダイヤ
kask,ヘルメット
kaze,凝乳
kegl,九柱戯の柱
klap,弁
klav,キー
kluz,水門
kojn,くさび
koks,腰
konk,貝殻
kren,セイヨウワサビ
krep,クレープ
krop,そ嚢
krup,クループ
lake,従僕
laks,下痢
legi,軍団
lent,レンズマメ
lepr,癩病
lian,つる植物
lien,脾臓
link,オオヤマネコ
liut,リュート
lojt,カワメンタイ
lorn,望遠鏡
lumb,腰
lutr,カワウソ
magi,魔術
mana,マナ
mari,マリア
mask,仮面
masx,編目
mecx,灯心
mejl,マイル
ment,ハッカ
merl,クロウタドリ
mesi,メシア
mili,キビ
mirh,ミルラ
mirt,ミルタ
misi,使命
mops,チン
most,ブドウ液
nicx,壁がん
omar,ウミザリガニ
opal,オパール
ostr,カキ
paru,シジュウガラ
pecx,ピッチ
pelv,たらい
perk,ペルカ
pest,ペスト
petr,ペテロ
pini,マツカサマツ
pips,舌病
plik,糾髪病
plot,ウグイ
popl,ハコヤナギ
pram,渡し船
sakr,仙骨
salm,サケ
sepi,イカ
sofi,ソフィア
sorp,ナナカマド
spat,デイ石
spin,脊柱
stab,幕僚
step,ステップ
stip,ハネガヤ
stof,シュトフ
stup,麻くず
sxak,チェス
sxal,ショール
sxam,セーム皮
taft,タフタ
talp,モグラ
tetr,クロライチョウ
tibi,頚骨
tili,ボダイジュ
tine,衣魚
torf,泥炭
trab,はり
tref,クラブ
tril,トリル
trip,はらわた
trog,飼い葉桶
tron,玉座
truf,フランス松露
trul,こて
trut,マス
turd,ツグミ
turk,トルコ人
turt,キジバト
uter,子宮
uxat,ワット
vafl,ワッフル
vals,ワルツ
vekt,天秤棒
zebr,シマウマ
altar,祭壇
ambos,鉄床
anton,アントン
ardez,粘板岩
argil,粘土
aspid,エジプトコブラ
balen,クジラ
barcx,ボルシチ
boben,コイル
brank,鰓
bubal,水牛
bufed,ビュッフェ
cejan,ヤグルマギク
dativ,与格
datur,チョウセンアサガオ
demon,悪霊
denar,デナリウス銀貨
deviz,座右の銘
domen,ドミノ
embri,胎児
emili,エミリア
ermen,エゾイタチ
ermit,隠者
facet,切子面
fazan,キジ
femur,大腿
filik,シダ
flegm,冷静
fokus,焦点
franc,フランス人
frank,フラン
fring,アトリ
galon,モール
gazel,ガゼル
genot,ジェネット
georg,ゲオルグ
gitar,ギター
gland,腺
grosx,グロシェン
hebre,ヘブライ人
heder,キヅタ
herez,異端
herni,ヘルニア
hirud,ヒル
hosti,聖餐式のパン
husar,軽騎兵
hxaos,kaoso
idili,牧歌
johan,ヨハン
jozef,ヨセフ
kalik,聖杯
kambi,為替手形
kamer,カメラ
kanab,麻
kanap,長椅子
kapel,チャペル
kapon,去勢オンドリ
kapor,フウチョウボク
kapot,頭巾付き外套
karas,フナ
karob,イナゴマメ
katun,綿布
kerub,ケルビム
kiras,装甲
klaft,尋
klosx,鐘形ガラス器
koaks,コークス
koleg,同僚
kolon,円柱
komiz,店員
komod,たんす
konus,円錐
kopek,コペイカ
koran,コーラン
kramp,かすがい
kring,クリンゲル
krisp,ひだ飾り
krist,キリスト
kupol,円天井
kvarc,石英
kvart,四度音程
lanug,うぶ毛
lauxr,月桂樹
libel,トンボ
liken,地衣
livre,制服
logxi,桟敷
lupol,ホップ
lustr,シャンデリア
luter,ルーテル
medal,メダル
meriz,野生のサクランボ
moned,コクマルガラス
morus,桑の実
mosxt,閣下
negoc,取引
nobel,貴族
novic,修練士
nuanc,ニュアンス
oblat,オブラート
okzal,スイバ
orden,勲章
orgen,パイプオルガン
pagxi,小姓
papav,ケシ
pariz,パリ
pauxl,パウロ
pavim,舗装材
pedik,シラミ
percx,アセリナ
piked,小哨
pilol,錠剤
pirit,黄鉄鉱
pirol,ウソ
piroz,胸やけ
pisxt,ピストン
plusx,フラシ天
poent,得点
pokal,さかずき
polus,極
potas,灰汁
prujn,霜
pudel,ムクイヌ
pumik,軽石
puncx,ポンス
putor,ニオイネコ
raben,ラビ
rapir,長剣
regol,キクイタダキ
rezin,樹脂
rostr,鼻
ruben,ルビー
safir,サファイア
salvi,サルビア
sigel,封印
silab,音節
silik,ケイ石
silur,ナマズ
silvi,シルビア
sirop,シロップ
skabi,かいせん
skadr,騎兵中隊
skarp,スカーフ
skvam,うろこ
sorik,トガリネズミ
spion,スパイ
spron,拍車
stabl,仕事台
sturg,チョウザメ
sturn,ムクドリ
sxalm,あし笛
sxark,サメ
sxelk,ズボンつり
sxild,盾
sxind,こけら板
sxlim,泥
taban,アブ
tavol,層
tempi,こめかみ
tetan,破傷風
tetra,エゾライチョウ
timon,かじ棒
topaz,トパーズ
torcx,たいまつ
tromb,たつまき
tulip,チューリップ
ulcer,潰瘍
urtik,イラクサ
vanil,バニラ
vasal,家臣
velen,子牛皮紙
verst,ベルスタ
vezir,大臣
vipur,マムシ
vokal,母音
zenit,天頂
zibel,黒テン
zizel,ジゼル
absces,膿瘍
absint,ニガヨモギ
alcion,カワセミ
amfibi,両生動物
ananas,パイナップル
artrit,関節炎
atripl,ハマアカザ
berlin,ベルリン
bismut,ビスマス
boraks,ほう砂
buljon,ブイヨン
bulonj,ブーロニュ
busxel,ブッシェル
centim,サンチーム
cikori,キクヂシャ
cimbal,シンバル
cinabr,シン砂
cipres,イトスギ
cxarpi,リント布
damask,ダマスク
delfen,イルカ
didelf,フクロネズミ
embusk,待ち伏せ
epolet,肩章
erinac,ハリネズミ
ernest,エルネスト
eskadr,艦隊
faktur,仕切書
falbal,ひだ飾り
fantom,幽霊
faring,咽頭
fenkol,ウイキョウ
ferdek,甲板
fistul,瘻孔
flanel,フランネル
fosfor,リン
frangx,房飾り
furunk,ねぶと
fusten,ファスチアン
galeri,回廊
gamasx,ゲートル
german,ドイツ人
granat,ザクロ
granit,花コウ岩
grenad,リュウ弾
grifel,石筆
gxiraf,キリン
haladz,悪気
hamstr,ハムスター
hispan,スペイン人
hximer,kimero
hxoler,コレラ
ingven,鼠径
izrael,イスラエル
jasmen,ジャスミン
kalesx,四輪馬車
kalvin,カルビン
kamfor,ショウノウ
kamlot,呉絽
kanajl,ごろつき
kanari,カナリヤ
kantor,聖歌隊員
kanvas,キャンバス
kapsul,カプセル
kapucx,ずきん
kardel,ゴシキヒワ
karmin,カルミン
karpen,イヌシデ
kastor,ビーバー
kaviar,キャビア
kobalt,コバルト
kobold,妖精
kolbas,ソーセージ
kolibr,ハチスズメ
kolimb,アビ
kolubr,コルブラ
komuni,聖餐式
kontor,事務室
kontur,輪郭
kornic,軒蛇腹
korpus,軍団
koturn,ウズラ
kraken,クラッカー
kratag,サンザシ
krater,噴火口
kronik,年代記
kurier,急使
lampir,ホタル
laring,喉頭
lavang,なだれ
legend,伝説
lekant,マーガレット
lentug,そばかす
levkoj,アラセイトウ
likvor,リキュール
litani,連祷
london,ロンドン
magnet,磁石
makzel,顎
mangan,マンガン
markot,取木
marmor,大理石
marmot,マーモット
mastik,パテ
migdal,アーモンド
miogal,ジャコウネズミ
miozot,ワスレナグサ
monahx,monak
morbil,はしか
morter,モルタル
muskat,ニクズク
muslin,モスリン
mustel,イタチ
nanken,ナンキンもめん
narcis,スイセン
nikola,ニコラウス
notari,公証人
orakol,神託
paletr,パレット
panter,ヒョウ
parget,寄木張り
parohx,parok
parter,平土間
pastel,ドロップ
patent,特許
patrol,巡察隊
pfenig,ペニヒ
pistak,ピスタチオ
pistol,ピストル
plastr,膏薬
platen,白金
ponard,短剣
porfir,斑岩
porter,ポーター
primol,サクラソウ
prunel,リンボクの実
purpur,紫色
rekrut,新兵
rempar,城壁
risort,ばね
rosmar,セイウチ
rozari,数珠
rubrik,見出し
safran,サフラン
sambuk,ニワトコ
sankci,裁可
sardel,塩アンチョービ
sceptr,王杖
selakt,乳精
servic,食器セット
servut,夫役
siring,ライラック
skapol,肩甲骨
skarab,カブト虫
skolop,シギ
skurgx,むち
sofism,詭弁
sopran,ソプラノ
spalir,果樹垣根
stefan,ステファン
sufiks,接尾辞
sukcen,コハク
sulfur,硫黄
talent,才能
tambur,ドラム
tenden,腱
teodor,テオドル
termin,専門用語
testik,睾丸
timian,イブキジャコウソウ
tombak,人造金
trahxe,気管
tremol,ハコヤナギ
tribun,演壇
tropik,回帰線
turban,ターバン
turkis,トルコ玉
turnir,トーナメント
urogal,オオライチョウ
variol,天然痘
viburn,ガマズミ
vikari,助任司祭
vinagr,酢
vizier,ひさし
volupt,官能
ablativ,奪格
antimon,アンチモン
arleken,道化者
arsenik,亜ヒ酸
artifik,術策
asparag,アスパラガス
bajonet,銃剣
bastion,稜堡
beladon,ベラドンナ
biskvit,ビスケット
cxampan,シャンペン
cxarnir,ちょうつがい
diamant,ダイアモンド
episkop,司教
esxafod,死刑台
fraksen,トネリコ
frangol,クロウメモドキ
fringel,マヒワ
genitiv,属格
henriet,ヘンリエッタ
hidrarg,水銀
hiskiam,ヒヨス
histrik,ヤマアラシ
jugland,クルミ
juniper,ネズ
kalikot,キャラコ
kamizol,キャミソール
kamomil,カミツレ
kapitan,船長
kapitel,柱頭
kapreol,ノロ
kapucen,カプチン会修道士
karaben,カービン銃
kartocx,薬包
karusel,回転木馬
kavalir,騎士
klarnet,クラリネット
klister,浣腸
koklusx,百日咳
kolofon,ロジン
kompres,湿布
kurator,管財人
kvitanc,領収書
leontod,タンポポ
leopard,
limonad,レモネード
lonicer,スイカズラ
ludovik,ルドビク
lunatik,精神病者
maroken,モロッコ皮
marsxal,元帥
meleagr,七面鳥
membran,膜
mihxael,ミカエル
monarhx,monark
mustard,マスタード
negligx,ネグリジェ
nikodem,ニコデモ
novjork,ニューヨーク
oksigen,酸素
oksikok,ツルコケモモ
parazit,寄生生物
pastecx,パイ
pelikan,ペリカン
perdrik,シャコ
poligon,多角形
prefiks,接頭辞
redakci,編集部
rinocer,サイ
salpetr,硝石
sentenc,格言
skarlat,緋色
skorbut,壊血病
skrofol,るいれき
smerald,エメラルド
sterled,コチョウザメ
stertor,あえぎ
sxiller,シラー
umbilik,ヘそ
univers,宇宙
varsovi,ワルシャワ
verdigr,緑青
vertebr,脊椎
vespert,コウモリ
vestibl,玄関
vilhelm,ウィルヘルム
virtuoz,名人
vitriol,硫酸塩
zingibr,ショウガ
akcipitr,タカ
akuzativ,対格
argument,論証
arhxaism,arkaismo
artisxok,チョウセンアザミ
baldaken,天蓋
briliant,ブリリアント
diplomat,外交官
distrikt,地区
elizabet,エリザベス
fragment,断片
framason,フリーメーソン会員
frugileg,ミヤマガラス
hidrogen,水素
hortulan,アオジ
institut,研究所
kantarid,ハンミョウ
kariofil,チョウジ
kartilag,軟骨
katarakt,白内障
kocxenil,コチニール
kokcinel,ナナホシテントウムシ
konvulsi,ひきつけ
leksikon,用語事典
marcipan,マジパン
medalion,大メダル
monarhxi,monarki
obstrukc,妨害
paradoks,逆説
parentez,かっこ
particip,分詞
pasament,モール
pastinak,アメリカボウフウ
pergamen,羊皮紙
peritone,腹膜
perlamot,真珠層
petromiz,ヤツメウナギ
petrosel,パセリ
ranunkol,キンポウゲ
redaktor,編集者
rezultat,結果
